cardPan, action, paymentSystem
4242424242424242, Success, Visa
5555555555554444, Success, MasterCard
586824160825533338, Success, Maestro
2201382000000013, Success, MIR
4111111111111111, Success, Visa
4012888888881881, 3-D Secure Success, Visa
5169147129584558, 3-D Secure Success, MasterCard
4987654321098769, 3-D Secure Failure, Visa
5123456789012346, 3-D Secure Failure, MasterCard
4342561111111118, 3-D Secure Timeout, Visa
5112000200000002, 3-D Secure Timeout, MasterCard
4000000000000002, Insufficient Funds, Visa
5100000000000412, Insufficient Funds, MasterCard
4222222222222220, Invalid Card, Visa
5100000000000511, Invalid Card, MasterCard
4003830171874018, CVV Match Fail, Visa
5496198584584769, CVV Match Fail, MasterCard
4000000000000069, Expired Card, Visa
5105105105105100, Expired Card, MasterCard
4111110000000112, Unknown Failure, Visa
5124990000000002, Unknown Failure, MasterCard
5000000000000009, Apple Pay Failure, Visa
4300000000000777, Apple Pay Success, Visa
2222405343248877, Google Pay Failure, MasterCard
2223007648726984, Samsung Pay Failure, MasterCard
5185731540006869, Samsung Pay Success, MasterCard
5204240250183519, Samsung Pay Success, MasterCard
9999999999999999, Success, Visa
